Datasets	1103_V2_D1	1103_V6_D29	2103_V2_D1	2103_V6_D29	2202_V2_D1	2202_V5_D22	3204_V2_D1	3204_V6_D29	3216_V2_D1	3216_V6_D29	3218_V2_D1
Quinone oxidoreductase family	70.062256	30.270887	4.530988	11.955333	9	21.35562	10.376477	23.827293	10.585586	28.43779	31.803864
Urea carboxylase and Allophanate hydrolase cluster	68.04123	318.33255	26.279732	198.59135	55	90.76138	124.51772	45.773487	226.70796	40.833748	199.90999
Rcs two-component regulator of capsule synthesis	67.36755	47.84753	3.6247907	5.313481	16	4.5762043	14.038763	9.405511	11.467718	3.6458704	6.0578785
Lysine leader peptide	66.69388	59.565296	19.48325	3.3209257	13	9.152409	22.584097	8.151443	1.7642642	2.9166963	4.543409
Tripartite multidrug efflux systems (of RND type) MdtABC-TolC	66.0202	38.08273	2.7185931	5.9776664	8	4.5762043	16.480288	8.778477	0	0	0
Barnase-barstar complex	63.99918	80.07138	30.81072	33.873444	43	109.828896	109.868576	168.04512	31.756758	29.166964	106.01288
HipAB system implicated in growth arrest. persistence and drug tolerance	63.99918	41.01217	55.731155	73.72455	14	75.50737	14.038763	11.913647	2.6463964	10.937612	28.774923
Rut pathway of pyrimidine degradation	63.99918	46.87105	0	0	8	1.5254014	16.480288	9.405511	0	0.7291741	0.7572348
D-allose utilzation	63.325504	23.435526	4.530988	1.9925554	2	5.338905	1.220762	9.405511	0.8821321	0.7291741	3.0289392
EnvZ and OmpR regulon	63.325504	45.89457	0.90619767	0.6641851	9	4.5762043	16.480288	6.8973746	0	0	6.0578785
Sugar-phosphate stress regulation	61.978153	27.341446	0.45309883	0	5	3.0508027	12.20762	4.3892384	0	0	0.7572348
L-rhamnonate utilization cluster	59.28345	57.612335	0	0	9	1.5254014	27.467144	5.0162725	0	1.4583482	0
Phospholipid and Fatty acid biosynthesis related cluster	59.28345	21.482565	3.6247907	0.6641851	8	2.2881021	10.376477	11.913647	1.7642642	0	0
Oxaloacetate decarboxylase Na-pump	58.609776	314.42664	197.5511	259.0322	10	295.92786	14.649144	32.60577	37.04955	29.896137	346.81354
Uridine to beta-Alanine and Thymine to 3-aminoisobutanoate module	58.609776	132.80132	124.14908	184.64346	85	87.71058	159.91982	75.24409	200.24399	257.39847	93.89712
Biofilm Adhesin Biosynthesis	57.9361	50.776974	4.9840875	0.6641851	10	6.1016054	20.752954	9.405511	2.6463964	0.7291741	0
Nucleoside ABC transporter cluster	56.58875	14.647203	64.340034	57.784107	71	40.423138	49.44086	156.75851	91.741745	42.2921	58.307083
AaeAB efflux system for hydroxylated. aromatic carboxylic acids	54.567722	28.317926	0	0	12	3.8135035	23.194477	6.8973746	0	0.7291741	0.7572348
Homoprotocatechuate degradative cluster	53.894047	16.600164	0	0	6	1.5254014	34.181335	10.032545	0	0	0.7572348
Autoinducer 2 (AI-2) transport and processing (lsrACDBFGE operon)	52.546696	30.270887	60.262146	9.298592	10	10.67781	46.388954	28.843567	59.10285	12.39596	6.8151135
TAM transport system	51.87302	46.87105	8.608878	3.3209257	13	3.0508027	21.973717	10.032545	0	0.7291741	9.844052
Siderophore Anthrachelin	51.87302	30.270887	62.07454	36.53018	314	448.468	20.752954	129.79605	134.96622	148.02234	137.05951
Sulfur transfer pathway CsdAEL	51.19934	27.341446	2.7185931	0	10	3.0508027	10.986858	10.659578	2.6463964	1.4583482	3.0289392
Resistance to Ethionamide and Isoniazid	51.19934	43.941612	9.061976	3.9851108	5	16.779415	14.038763	10.659578	25.581833	1.4583482	8.329583
Anaerobic glycerol-3-phosphate dehydrogenase subunits	50.525665	37.10625	192.567	253.05453	10	15.254014	36.62286	13.794749	44.106606	21.875223	187.79424
2-phosphoglycolate salvage	49.85199	52.729935	17.217756	21.253923	60	22.11832	14.038763	26.962463	19.406906	64.89649	84.8103
Glutamate fermentation	49.85199	73.236015	10.421273	13.947887	0	0.7627007	12.818001	29.4706	11.467718	48.854664	24.988749
Lysine fermentation	48.50464	33.20033	199.3635	163.38954	37	131.94722	45.168194	45.773487	87.331085	120.31373	195.3666
Rcn nickel and cobalt homeostasis system	48.50464	29.294407	0	0	1	1.5254014	20.142572	3.7622042	0	0	0
Resistance to Capreomycin and Viomycin	46.483612	11.717763	62.07454	124.20262	40	16.016714	19.532192	15.048817	27.346096	67.084015	68.90837
Chitobiose	45.809937	26.364967	0.45309883	0	10	3.0508027	10.376477	3.1351702	1.7642642	0.7291741	0
Delta(6)-desaturase containing cluster	45.13626	22.459045	0.90619767	0.6641851	11	5.338905	17.70105	4.3892384	0.8821321	2.1875222	4.543409
CytR regulation	44.462585	29.294407	4.0778894	1.3283702	4	3.0508027	22.584097	16.92992	4.4106607	2.1875222	2.2717044
GlrKR two-component regulatory system	44.462585	32.223846	0	0.6641851	5	3.0508027	9.766096	3.7622042	0	0	1.5144696
Shikimate kinase SK3 cluster	43.78891	33.20033	0	0.6641851	7	6.864306	11.597239	8.778477	0	0	0
Phenylacetyl-CoA catabolic pathway (core)	43.115234	17.576645	0.45309883	0.6641851	7	0.7627007	36.012478	6.8973746	1.7642642	3.6458704	0.7572348
Bicyclomycin resistance cluster	43.115234	33.20033	13.592965	1.9925554	5	9.152409	6.714191	6.2703404	10.585586	10.208437	17.4164
MazEF toxin-antitoxing (programmed cell death) system	42.44156	19.529604	0	0	7	2.2881021	23.194477	3.1351702	1.7642642	2.1875222	0.7572348
Homogentisate pathway	42.44156	27.341446	0.90619767	0.6641851	10	2.2881021	7.324572	6.2703404	1.7642642	4.3750443	3.0289392
Programmed cell death toxin-antitoxin PezAT	39.746857	272.438	74.30821	102.94869	30	414.14645	48.83048	82.76849	29.110361	3.6458704	65.87943
Polyadenylation. bacterial	39.746857	27.341446	7.2495813	5.313481	6	3.8135035	11.597239	11.913647	1.7642642	6.5625668	12.8729925
Sulfur metabolism related cluster	39.07318	112.29523	214.76884	158.07607	25	225.7594	15.869905	161.77478	97.03454	71.45906	418.75085
CoA disulfide thiol-disulfide redox system	39.07318	66.40066	34.88861	34.53763	14	85.42248	32.350193	47.027554	24.6997	28.43779	103.74117
Type I secretion systems disambiguation	38.399506	31.247368	2.265494	2.6567404	4	2.2881021	15.259525	1.2540681	1.7642642	0	3.0289392
S-methylmethionine	38.399506	18.553125	29.904524	55.127365	22	21.35562	50.051243	25.708395	74.98123	58.333927	6.0578785
Ferrous iron transporter EfeUOB. low-pH-induced	38.399506	20.506084	21.295645	6.6418514	15	2.2881021	9.155715	6.8973746	36.16742	4.3750443	1.5144696
Phosphoenolpyruvate phosphomutase	38.399506	55.659374	102.85344	170.03139	8	24.406422	29.298288	161.77478	103.20946	58.333927	118.88587
Heme and heme d1 biosynthesis from siroheme	37.72583	7.811842	0	1.3283702	0	1.5254014	1.220762	3.7622042	0	2.1875222	1.5144696
Dihydropyrimidine dehydrogenase	37.72583	25.388487	2.265494	1.9925554	4	0	14.649144	3.7622042	0.8821321	2.1875222	0
dTDP-3-acetamido-3.6-dideoxy-alpha-D-galactose synthesis	37.052155	123.03651	16.764658	23.246479	5	38.897736	4.883048	9.405511	37.931683	7.291741	40.133446
CMP-legionaminic acid synthesis	37.052155	44.91809	707.7404	120.88169	138	641.4313	12.20762	92.174	538.1006	271.98193	468.72836
Hyaluronate utilization	37.052155	22.459045	19.030151	15.276258	47	20.592918	78.73915	130.42308	209.06532	96.980156	58.307083
Outer membrane porins in Pseudomonas and Acinetobacter	35.704803	141.58963	92.88526	142.7998	7	115.930504	9.766096	10.032545	4.4106607	2.1875222	146.14632
ABC transporter YeiABEF	35.704803	11.717763	0.45309883	1.3283702	5	1.5254014	7.324572	1.8811021	0	2.1875222	0
Ribosomal protein S12p Asp methylthiotransferase	35.704803	32.223846	0.45309883	2.6567404	2	0.7627007	7.9349527	5.6433063	0	2.9166963	1.5144696
Stress proteins YciF. YciE	35.704803	38.08273	11.78057	23.246479	30	35.84693	17.090668	87.15773	23.817568	55.417233	49.977497
Copper uptake system CopCD	35.031128	27.341446	0.45309883	0	7	3.0508027	14.038763	7.5244083	0	0	0
Osmotic stress cluster	35.031128	32.223846	4.9840875	0	6	0.7627007	12.818001	2.5081363	0.8821321	0.7291741	0
Toxin-antitoxin replicon stabilization systems	34.357452	20.506084	209.33167	39.85111	37	165.50604	87.284485	44.519417	316.68542	228.96066	146.14632
Glutathionylspermidine and Trypanothione	34.357452	20.506084	2.265494	0	9	0	12.20762	1.8811021	0	0	0
NADH ubiquinone oxidoreductase vs. multi-subunit cation antiporter	33.683777	23.435526	0.90619767	0	4	3.0508027	10.986858	14.421783	0	9.479263	1.5144696
tRNA modification. 5-oxyacetyl uridine (cmo5U34)	32.336426	36.12977	4.9840875	0	12	0.7627007	15.259525	4.3892384	0.8821321	0	0
Aminoglycoside modifying enzymes: N-acetyltransferases	30.989077	39.059208	60.715244	39.186924	5	10.67781	24.41524	31.978737	60.86712	33.542007	29.532158
Hydroxyaromatic decarboxylase family	28.96805	17.576645	0	0	5	0	28.077526	2.5081363	0	0.7291741	0.7572348
Aminoglycoside modifying enzymes: O-nucleotidyltransferases	28.96805	118.154106	108.29062	142.13562	21	16.016714	35.4021	141.7097	80.274025	147.29317	24.988749
Fusaric acid resistance cluster	28.96805	18.553125	0	0	0	0	7.9349527	3.7622042	0	0	0
Cyanate hydrolysis	26.947023	13.670723	1.3592966	0.6641851	7	5.338905	14.649144	3.1351702	2.6463964	13.854308	0
Bacterial pathways for dimethylsulfoniopropionate and acrylate catabolism	26.947023	19.529604	0.45309883	0	12	2.2881021	4.272667	2.5081363	0.8821321	0	0
Cyanophycin Metabolism	26.273348	20.506084	1.3592966	1.9925554	36	1.5254014	3.662286	13.167715	43.224476	56.87558	3.786174
Iron(III) dicitrate transport system Fec	26.273348	16.600164	0.45309883	0	2	0	14.038763	3.7622042	1.7642642	2.9166963	0
Small efflux transporters of SMR family	24.925995	19.529604	0.45309883	0	5	3.0508027	2.441524	3.1351702	0	0	0
2-aminophenol Metabolism	24.25232	19.529604	0.90619767	0	3	0.7627007	39.064384	1.8811021	4.4106607	8.020915	1.5144696
Outer membrane proteases (Omptins)	23.578644	7.811842	0	0	0	0.7627007	0	1.8811021	0	0.7291741	0
Carbon monoxide induced hydrogenase	22.904968	18.553125	21.295645	36.53018	33	22.11832	13.428382	16.92992	26.463964	48.854664	36.34727
Quorum sensing in Yersinia	22.231293	10.741282	8.608878	5.9776664	4	0.7627007	9.766096	11.2866125	8.8213215	28.43779	20.445341
D-arabinitol utilization	22.231293	18.553125	0	0	0	2.2881021	2.441524	6.2703404	0	0.7291741	0
Siderophore Mycobactin	22.231293	8.788322	0	0.6641851	5	0.7627007	0.610381	4.3892384	0.8821321	0.7291741	1.5144696
Citrate uptake cluster	21.557617	14.647203	0	0	10	0.7627007	8.545334	0	0.8821321	1.4583482	1.5144696
Gentisate pathway	21.557617	11.717763	0	0	3	0	4.883048	3.7622042	0	0	0
TonB-ExbBD energy transducing system	20.883942	16.600164	1.8123953	1.3283702	4	19.067516	7.9349527	26.33543	0	0.7291741	28.774923
DNA repair. bacterial photolyase	20.883942	14.647203	0	0	1	1.5254014	10.376477	3.7622042	0.8821321	0.7291741	0
Energy-conserving hydrogenase (ferredoxin)	20.883942	14.647203	4.530988	11.291147	41	117.4559	45.778576	108.47689	28.228228	66.35484	102.2267
Glycine cleavage system	19.53659	12.694243	0.45309883	0	2	2.2881021	7.9349527	1.2540681	0.8821321	0	1.5144696
Macrolides. lincosamides. streptogramins. ketolides. oxazolidinones (MLSKO) resistance: rRNA methylases	18.862915	89.83618	40.325798	75.7171	29	189.14977	28.077526	78.37926	119.08784	39.3754	35.59004
D-alanylation of teichoic acid	18.18924	13.670723	32.170017	17.932999	41	18.304817	25.025621	37.622044	60.86712	48.12549	5.300644
Vir-like type 4 secretion system	18.18924	0.97648025	2.265494	1.9925554	18	15.254014	4.272667	36.99501	2.6463964	0.7291741	14.387462
Beta-lactamases Ambler class C	18.18924	11.717763	0	0	1	0.7627007	7.324572	1.2540681	0	0	0
Chloramphenicol resistance	18.18924	9.764802	4.9840875	2.6567404	3	3.8135035	3.051905	1.8811021	10.585586	40.104576	3.786174
DNA sulfur modification cluster	16.841888	19.529604	9.968175	21.91811	40	343.978	573.7581	421.99393	276.10736	293.85715	124.18651
Late competence	16.841888	40.03569	76.120605	44.500404	39	6.1016054	10.376477	20.692123	126.1449	10.937612	8.329583
Type 4 conjugative transfer system. IncI1 type	16.841888	7.811842	0	0	0	0	0	0	0	0	0
Fatty acid metabolism cluster	16.841888	9.764802	0.90619767	0	2	0	3.662286	1.2540681	1.7642642	0	0
Carnitine metabolism and transport	16.841888	7.811842	0.45309883	1.3283702	0	3.0508027	15.259525	5.0162725	0	1.4583482	1.5144696
Oxygen-sensing diguanylate cyclase and phosphodiesterase couple for c-di-GMP control	16.841888	19.529604	0	0	3	1.5254014	2.441524	2.5081363	0	0.7291741	0.7572348
Cluster related to 2-thiouridine modification of tRNAs	16.841888	13.670723	1.8123953	1.9925554	10	1.5254014	5.493429	4.3892384	3.5285285	4.3750443	3.786174
Lipopolysaccharide transporter LptABC	15.494538	159.16628	85.63568	113.57566	1	104.48999	3.662286	6.2703404	7.057057	10.208437	154.4759
Beta-lactamases Ambler class A	15.494538	97.648026	52.559464	41.843662	5	103.727295	9.155715	22.573225	6.174925	10.208437	94.65435
Sulfhydrogenase	14.147187	10.741282	10.8743725	12.619517	15	29.745327	23.80486	40.757214	6.174925	75.104935	54.52091
D-glucosaminate utilization	14.147187	1.9529605	0.45309883	0.6641851	1	0	0	0	0	0	0
Cobalamin synthesis. Precorin-2 to Cob(II)yrinate a.c diamide. aerobic	14.147187	1.9529605	1.8123953	1.9925554	0	0.7627007	1.220762	0	2.6463964	8.020915	2.2717044
Macrolides. lincosamides. streptogramins. ketolides. oxazolidinones (MLSKO) resistance: enzymatic degradation	14.147187	8.788322	0.45309883	2.6567404	2	7.627007	4.883048	10.659578	14.114114	29.166964	12.115757
Multiple Antibiotic Resistance MAR locus	14.147187	10.741282	0	0	5	0	7.324572	1.2540681	0	0	0
Methionine Salvage	13.473512	6.8353615	1.8123953	3.3209257	11	7.627007	28.077526	11.2866125	0.8821321	2.1875222	2.2717044
Trans-translation by stalled ribosomes	13.473512	7.811842	51.653267	19.925554	3	9.152409	4.883048	5.6433063	22.935436	59.792274	12.8729925
Control of cell elongation - division cycle in Bacilli	12.799835	24.412006	45.76298	24.57485	16	3.8135035	6.714191	21.319157	95.27027	3.6458704	0
Biosynthesis of thiamin antivitamin Bacimethrin	12.799835	3.905921	0.90619767	0.6641851	118	37.372334	13.428382	21.946192	0.8821321	0.7291741	0.7572348
RSF1010 like IncQ broad-host-range plasmids	12.799835	13.670723	0.45309883	0	0	0	14.649144	5.0162725	0	0	0
Periplasmic nitrate reductase EC 1.7.99.4	12.12616	9.764802	0	0.6641851	7	1.5254014	6.10381	1.8811021	0	0	1.5144696
Lysine fermentation to crotonoyl-CoA	12.12616	17.576645	140.46065	122.87425	22	89.23598	4.883048	7.5244083	57.33859	93.33428	108.284584
HU-alpha and dsDNA mimic protein interaction	12.12616	12.694243	0.90619767	0	1	1.5254014	3.662286	1.8811021	30.874624	9.479263	0
Tetracycline resistance. all mechanisms	12.12616	16.600164	17.670855	17.932999	5	3.8135035	3.051905	6.8973746	14.114114	5.1042185	67.3939
PEB1. the major cell-binding factor of Campylobacter jejuni	11.452484	3.905921	32.170017	17.932999	27	39.660435	27.467144	35.113907	116.441444	21.875223	65.87943
Anaerobic Oxidative Degradation of L-Ornithine	11.452484	7.811842	0	2.6567404	3	11.44051	14.038763	13.167715	6.174925	45.208794	8.329583
Cyanobacterial bypass in the TCA	10.778809	7.811842	0	0	0	0.7627007	3.051905	1.2540681	0.8821321	0.7291741	0.7572348
2.3-diacetamido-2.3-dideoxy-d-mannuronic acid	10.778809	5.8588815	224.28392	264.34567	9	100.67649	33.570953	95.93621	44.98874	75.104935	199.15276
Possible heterocyst differentiation related cluster	10.105133	8.788322	3.6247907	1.3283702	1	3.0508027	13.428382	11.913647	0.8821321	0.7291741	0.7572348
ESAT-6 proteins secretion system in Firmicutes extended	10.105133	4.882401	30.81072	19.26137	6	3.8135035	10.376477	55.80603	41.46021	11.666785	6.8151135
Mevalonate metabolic pathway	10.105133	12.694243	35.794807	16.604628	10	1.5254014	13.428382	16.92992	86.44895	3.6458704	6.8151135
PPE multigene family in Mycobacterium tuberculosis complex (MTBC)	10.105133	2.9294407	2.7185931	0	0	0	17.090668	5.6433063	1.7642642	0	0
Lipid-linked oligosaccharide synthesis related cluster	8.757782	0.97648025	35.34171	50.47807	9	2.2881021	5.493429	3.1351702	0.8821321	4.3750443	18.173635
Quorum-sensing related cluster	8.757782	2.9294407	3.171692	0.6641851	1	2.2881021	1.831143	3.1351702	4.4106607	3.6458704	1.5144696
Dehydrogenase complexes	8.757782	46.87105	18.577053	30.552517	5	98.38839	6.10381	15.675851	35.285286	11.666785	90.86818
Threonine anaerobic catabolism gene cluster	8.084106	4.882401	0	0	0	0	2.441524	0.62703407	0	0	0
Macrolides. lincosamides. streptogramins. ketolides. oxazolidinones (MLSKO) resistance: ribosomal protection	8.084106	9.764802	29.904524	39.85111	10	2.2881021	12.20762	52.043827	97.916664	198.33536	0.7572348
Resistance to the fluoroquinolones norfloxacin and ciprofloxacin	8.084106	6.8353615	0.45309883	0.6641851	0	0	2.441524	0	1.7642642	1.4583482	0
Entericidin	7.4104314	0.97648025	0	0	0	0	3.051905	2.5081363	0	0	0
NADH ubiquinone oxidoreductase	7.4104314	7.811842	0	0	1	0	1.220762	0	0	0.7291741	0
Malonate decarboxylase	7.4104314	1.9529605	3.6247907	4.649296	0	3.8135035	2.441524	8.778477	0.8821321	1.4583482	0.7572348
Ribitol utilization	7.4104314	1.9529605	0.90619767	1.9925554	2	3.8135035	3.051905	3.7622042	2.6463964	1.4583482	0.7572348
Glutathione ABC transporter	6.736756	5.8588815	0	0	1	1.5254014	4.272667	0.62703407	0	0	0
Sucrose to levan conversions	6.736756	6.8353615	37.154106	17.932999	22	3.8135035	4.272667	12.540681	74.98123	17.500177	4.543409
Siderophore Yersiniabactin Biosynthesis	6.736756	7.811842	0	0	4	0	1.220762	1.2540681	0	0	0
ABC transporter tungstate (TC 3.A.1.6.2)	6.06308	2.9294407	0.90619767	0.6641851	0	12.203211	52.492767	31.978737	4.4106607	5.8333926	7.572348
Multi-subunit cation antiporter	6.06308	3.905921	6.7964826	6.6418514	1	2.2881021	10.376477	22.573225	3.5285285	18.229353	6.0578785
Aminoglycoside modifying enzymes: O-phosphotransferases	6.06308	13.670723	1.3592966	0	1	0.7627007	18.92181	3.1351702	0.8821321	7.291741	9.086818
ABC transporter YxeMNO	5.3894043	1.9529605	4.0778894	1.3283702	4	3.0508027	5.493429	8.151443	7.9391894	9.479263	4.543409
Oxygen-sensing two-component regulatory system NreABC	5.3894043	3.905921	0.45309883	1.9925554	3	0	3.051905	3.7622042	3.5285285	1.4583482	0
DNA phosphorothioation-dependent restriction system DptFGH	4.7157288	12.694243	1.3592966	1.9925554	28	6.864306	0	1.8811021	17.642643	12.39596	3.0289392
Integrons	4.7157288	11.717763	27.639029	17.932999	3	37.372334	9.155715	13.794749	7.057057	16.04183	184.7653
Exosporium	4.042053	0	3.171692	0.6641851	5	0	0	0.62703407	4.4106607	2.1875222	0
Electron-bifurcating caffeyl-CoA reductase-Etf complex	4.042053	2.9294407	0.90619767	3.9851108	1	0.7627007	4.883048	2.5081363	9.703453	10.208437	1.5144696
Na(+) H(+) antiporter	4.042053	61.518253	1.8123953	0.6641851	0	0	0	0	0	0	4.543409
Alpha-acetolactate operon	4.042053	11.717763	10.421273	9.962777	13	0	0.610381	2.5081363	29.110361	4.3750443	0
2-O-alpha-mannosyl-D-glycerate utilization	4.042053	0.97648025	5.890285	1.3283702	6	3.0508027	7.324572	5.6433063	2.6463964	6.5625668	3.786174
Pterin synthesis related cluster	4.042053	1.9529605	0.90619767	3.3209257	2	2.2881021	3.051905	3.1351702	1.7642642	0	5.300644
Siderophore Pyoverdine	4.042053	7.811842	0	0	0	0	0.610381	1.2540681	0.8821321	0.7291741	0
Dissimilatory nitrite reductase	4.042053	7.811842	0.90619767	0	1	1.5254014	0.610381	0.62703407	0	0	1.5144696
Listeria surface proteins: Internalin-like proteins	4.042053	4.882401	9.968175	35.201813	21	5.338905	7.324572	11.2866125	18.524775	51.042187	4.543409
Mechanisms of PAS resistance	4.042053	0.97648025	15.858459	7.3060365	6	2.2881021	3.051905	6.8973746	14.996246	5.1042185	4.543409
Resistance to chromium compounds	4.042053	2.9294407	5.890285	9.962777	6	16.779415	7.324572	8.778477	16.760511	5.8333926	27.260454
Vancomycin resistance. D-Ala-D-Ser. D-Ala-Lac ligases	4.042053	6.8353615	74.30821	104.27707	4	6.864306	9.155715	26.962463	43.224476	38.646225	21.95981
Lipopolysaccharide-related cluster in Alphaproteobacteria	3.368378	1.9529605	0.90619767	2.6567404	0	0	3.662286	1.2540681	2.6463964	0	3.0289392
EcsAB transporter affecting expression and secretion of secretory preproteins	3.368378	10.741282	27.18593	11.291147	11	0.7627007	2.441524	5.6433063	50.281532	2.1875222	3.0289392
Methylhydantoinase	3.368378	6.8353615	8.608878	21.91811	3	20.592918	34.791718	28.843567	9.703453	23.33357	12.8729925
Poly-gamma-glutamate biosynthesis	3.368378	6.8353615	1.8123953	6.6418514	1	26.694523	3.051905	6.2703404	1.7642642	10.208437	6.0578785
Glycyl-tRNA synthetase	3.368378	0	9.515076	5.313481	3	2.2881021	3.051905	3.1351702	15.878379	5.1042185	20.445341
tRNA aminoacylation. Pyr	3.368378	3.905921	0.45309883	0	0	0	12.818001	2.5081363	0	0	4.543409
Hydrolysis of sphingomyelin	3.368378	26.364967	3.171692	0.6641851	1	15.254014	1.831143	3.1351702	3.5285285	2.9166963	6.0578785
Vancomycin resistance. D-Ala-D-Ala dipeptidases and carboxypeptidases	3.368378	30.270887	64.79314	92.985916	4	10.67781	37.233242	44.519417	19.406906	39.3754	26.50322
Glutathione analogs: mycothiol	3.368378	0	3.6247907	0.6641851	0	0	3.051905	0.62703407	0	10.937612	1.5144696
Alginate biosynthesis	2.6947021	0	0.90619767	0.6641851	0	0	0	1.2540681	0	0.7291741	0.7572348
Dipicolinate Synthesis	2.6947021	7.811842	35.794807	65.754326	3	10.67781	17.090668	8.151443	11.467718	10.208437	12.115757
Efflux ABC transporters BmrCD and LmrCD involved in multidrug resistance	2.6947021	4.882401	4.0778894	0.6641851	2	1.5254014	1.220762	3.7622042	4.4106607	2.9166963	0.7572348
Cysteine dioxygenase containing cluster 1	2.6947021	0.97648025	2.7185931	0.6641851	1	0	9.155715	1.2540681	8.8213215	0	0
Sulfate assimilation related cluster	2.6947021	0.97648025	0	1.9925554	3	0	1.220762	0	0.8821321	4.3750443	0
Cell invasion-related virulence operon MCE	2.6947021	0	0	0	0	0	0	0	0	0	0
Bacillithiol synthesis	2.6947021	0.97648025	0	0	0	1.5254014	0.610381	0	0	0.7291741	2.2717044
Glycerol fermentation to 1.3-propanediol	2.0210266	2.9294407	0.45309883	0	5	3.8135035	2.441524	11.913647	0.8821321	5.1042185	6.8151135
Desulfovibrio high-molecular-weight cytochrome cluster	2.0210266	4.882401	0	1.3283702	0	0	7.324572	1.2540681	0	0	6.8151135
AttEFGH ABC Transport System	2.0210266	0	0.45309883	0.6641851	1	0	0	0	0	0.7291741	0
HMG CoA Synthesis	2.0210266	2.9294407	2.265494	0	1	0	4.272667	0	0	2.1875222	2.2717044
Pyrroloquinoline Quinone biosynthesis	2.0210266	0.97648025	0	0	0	0.7627007	0	0	0	0	1.5144696
Chlorophyll Biosynthesis in plants and prokaryotes	2.0210266	0.97648025	32.623116	0.6641851	0	2.2881021	1.831143	1.8811021	9.703453	8.750089	0
Hopanoid biosynthesis	2.0210266	3.905921	4.0778894	1.9925554	0	3.0508027	1.220762	0.62703407	1.7642642	2.9166963	5.300644
Siderophore pyochelin	2.0210266	6.8353615	0	0	0	0	0.610381	1.2540681	0.8821321	0.7291741	0
Sulfate reduction-associated complexes	2.0210266	7.811842	1.8123953	4.649296	2	4.5762043	15.259525	1.8811021	0.8821321	1.4583482	12.115757
Adhesins in Staphylococcus	2.0210266	7.811842	4.0778894	1.3283702	0	1.5254014	1.220762	1.2540681	18.524775	8.750089	4.543409
Fosfomycin resistance	2.0210266	0	0	0	0	0	0	0	0	0	0
Plasmid replication	1.3473511	0	2.265494	1.9925554	0	1.5254014	0	0.62703407	2.6463964	2.9166963	2.2717044
Glycerol ABC transporter	1.3473511	0	0.45309883	1.3283702	2	0	1.220762	1.2540681	0.8821321	2.9166963	0.7572348
An Arabinose Sensor	1.3473511	0	3.171692	1.9925554	0	0.7627007	1.831143	5.6433063	2.6463964	0.7291741	3.0289392
Mycobacterial gene cluster associated with resistance against FAS-II antibiotics	1.3473511	0	0	0.6641851	0	0	0	0	0	0	0
Acyclic terpene utilization	1.3473511	0	0	0	0	0	0.610381	0.62703407	0	0	0
Polysulfide reductase EC 1.12.98.4 and Thiosulfate reductase	1.3473511	0	0	0	0	0	0	0	0	0	0
Modification of eukaryotic initiation factor 5A	1.3473511	0	1.3592966	2.6567404	0	3.0508027	0	0	12.34985	73.64658	0
Pyrrolysine	1.3473511	0	0	0	0	0	1.831143	0.62703407	0	0	0.7572348
BOX elements in Streptococci	1.3473511	4.882401	9.515076	1.3283702	1	0	1.220762	4.3892384	9.703453	0.7291741	0
G-protein-coupled receptor (GPCR) system in Actinobacteria	1.3473511	0.97648025	0	0	0	1.5254014	0	0	0	0	0
Transcription factors. cyanobacterial RpoD-like sigma factors	1.3473511	0.97648025	0.45309883	0	0	0.7627007	0	0.62703407	0	1.4583482	0
Mycobacterial lipoproteins (LPR group)	1.3473511	5.8588815	5.4371862	0.6641851	6	0	0.610381	3.1351702	8.8213215	0	0
Actinobacterial signal transduction system MtrAB-LpqB	1.3473511	0	1.3592966	0	3	0	1.831143	1.2540681	0	3.6458704	0.7572348
Beta-lactamases Ambler class D	1.3473511	0	0.45309883	0	0	0	0	1.2540681	0	0	0.7572348
VraTSR and LiaFSR three-component regulatory systems	1.3473511	14.647203	16.311558	10.626962	4	0.7627007	6.10381	10.659578	53.81006	0.7291741	0.7572348
O-methyl phosphoramidate modification in capsular polysaccharide	0.67367554	0.97648025	0	0	0	1.5254014	0.610381	3.1351702	0.8821321	0.7291741	1.5144696
Phosphatidylinositol mannosides biosynthesis related cluster	0.67367554	0	3.171692	0.6641851	2	3.8135035	4.272667	5.0162725	3.5285285	5.8333926	1.5144696
ATP-dependent Nuclease	0.67367554	0	0.45309883	0	0	20.592918	1.220762	1.2540681	2.6463964	0	4.543409
Degradation of branched-chain amino acids and alpha-keto acids [Leu. Val]	0.67367554	1.9529605	0.90619767	0.6641851	0	0.7627007	0	0	0.8821321	0.7291741	0.7572348
Lipoylation-related cluster	0.67367554	0.97648025	13.139866	7.9702215	2	0.7627007	1.220762	5.6433063	25.581833	2.9166963	1.5144696
Fatty acid catabolic operon fadN-fadA-fadE (yusJKL)	0.67367554	2.9294407	0.90619767	1.3283702	0	0.7627007	1.220762	0	2.6463964	2.1875222	1.5144696
Mycobacterial FadD proteins (fatty acid CoA- and AMP- ligases)	0.67367554	0.97648025	0	0	0	0.7627007	0	0	0.8821321	1.4583482	0
Cholesterol catabolism	0.67367554	0	0	0	0	1.5254014	0.610381	0	0	0	0.7572348
Amidase clustered with urea and nitrile hydratase functions	0.67367554	0	0	0	1	0	0	0	0	0	0
Nitrogen fixation	0.67367554	0	1.3592966	1.9925554	1	1.5254014	1.220762	1.2540681	4.4106607	14.583482	3.786174
The Chv two-component regulatory system	0.67367554	0	0.90619767	1.3283702	0	0.7627007	0	0	2.6463964	0	0
