Pathway	1103_V2_D1	1103_V6_D29	2103_V2_D1	2103_V6_D29	2202_V2_D1	2202_V5_D22	3204_V2_D1	3204_V6_D29	3216_V2_D1	3216_V6_D29	3218_V2_D1	3218_V6_D29
PWY-7013: L-1.2-propanediol degradation	3.83E-07	2.08E-06	0	0	0	0	1.21E-05	0	0	0	0	0
PWY-7036: very long chain fatty acid biosynthesis II	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7039: phosphatidate metabolism. as a signaling molecule	0	0	0	0	0	0	0	2.67E-07	0	0	0	1.73E-07
PWY-7053: docosahexaenoate biosynthesis I (lower eukaryotes)	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7094: fatty acid salvage	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7111: pyruvate fermentation to isobutanol (engineered)	0.000875919	0.00080954	0.000927697	0.00083752	0.000752021	0.000723981	0.000870822	0.000866045	0.000800875	0.000704368	0.000908869	0.000954931
PWY-7115: C4 photosynthetic carbon assimilation cycle. NAD-ME type	8.18E-06	1.09E-05	0	0	9.52E-06	3.19E-06	7.78E-06	1.40E-05	7.49E-06	1.48E-06	1.72E-06	2.13E-06
PWY-7117: C4 photosynthetic carbon assimilation cycle. PEPCK type	6.94E-06	2.46E-06	0	0	2.37E-05	2.66E-06	8.62E-06	3.02E-05	8.36E-06	1.61E-05	4.98E-06	1.53E-05
PWY-7118: chitin degradation to ethanol	0	0	0	0	0	0	0	2.51E-07	0	0	0	0
PWY-7184: pyrimidine deoxyribonucleotides de novo biosynthesis I	9.54E-05	9.62E-05	2.96E-05	3.08E-05	3.08E-05	6.91E-05	3.51E-05	0.000108864	6.78E-05	0.000102033	4.94E-05	6.55E-05
PWY-7187: pyrimidine deoxyribonucleotides de novo biosynthesis II	0.000124421	0.000125393	0.000173221	0.000218699	0.000186544	0.000156552	4.67E-05	9.66E-05	0.000188459	0.000227919	0.000201217	0.000227593
PWY-7196: superpathway of pyrimidine ribonucleosides salvage	0.000154112	0.000139669	3.68E-05	4.49E-05	4.76E-05	0.000105843	4.86E-05	7.97E-05	9.77E-05	0.000147386	5.85E-05	8.61E-05
PWY-7197: pyrimidine deoxyribonucleotide phosphorylation	8.16E-05	7.20E-05	1.87E-05	2.00E-05	2.21E-05	5.71E-05	2.29E-05	8.90E-05	4.87E-05	0.000101451	3.40E-05	5.09E-05
PWY-7198: pyrimidine deoxyribonucleotides de novo biosynthesis IV	7.16E-05	3.19E-05	7.37E-07	3.11E-06	3.60E-06	2.84E-05	0	0	6.77E-06	1.06E-06	7.87E-06	1.47E-05
PWY-7199: pyrimidine deoxyribonucleosides salvage	0.000101232	0.000130374	0.000121119	0.000146428	0.000121434	0.000133745	6.10E-05	3.61E-05	0.000173504	0.000119653	4.61E-05	9.89E-05
PWY-7200: superpathway of pyrimidine deoxyribonucleoside salvage	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7204: pyridoxal 5-phosphate salvage II (plants)	1.72E-06	2.21E-05	0	0	2.97E-06	8.33E-06	7.27E-07	1.56E-05	0	0	0	1.41E-07
PWY-7208: superpathway of pyrimidine nucleobases salvage	0.000514814	0.000317534	6.39E-05	0.000274789	0.000185626	0.000170638	0.00016722	0.000132917	0.000274087	0.000267927	8.94E-05	0.000111773
PWY-7209: superpathway of pyrimidine ribonucleosides degradation	6.29E-05	1.20E-05	1.98E-05	6.56E-05	0	0	1.69E-07	3.15E-07	7.79E-05	7.98E-05	1.54E-05	2.25E-05
PWY-7210: pyrimidine deoxyribonucleotides biosynthesis from CTP	7.64E-05	3.81E-05	1.04E-06	4.18E-06	4.79E-06	3.25E-05	0	0	9.12E-06	1.51E-06	1.03E-05	1.85E-05
PWY-7211: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis	0.000126832	7.69E-05	4.22E-05	4.71E-05	1.46E-05	7.73E-05	2.38E-05	9.63E-05	9.13E-05	0.000117049	6.68E-05	7.86E-05
PWY-7218: photosynthetic 3-hydroxybutanoate biosynthesis (engineered)	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7219: adenosine ribonucleotides de novo biosynthesis	0.00109239	0.00101919	0.00116802	0.00118175	0.00109005	0.000924897	0.00132203	0.0012031	0.00102362	0.000965799	0.000864447	0.00103394
PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II	6.94E-05	8.75E-05	9.71E-05	9.47E-05	5.06E-05	6.73E-05	2.43E-05	8.16E-05	0.000103831	8.45E-05	9.97E-05	8.28E-05
PWY-7221: guanosine ribonucleotides de novo biosynthesis	0.000696756	0.000694736	0.000697536	0.000752005	0.000752552	0.000655145	0.000805991	0.000810799	0.000728528	0.000615327	0.000531631	0.000721325
PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II	6.94E-05	8.75E-05	9.71E-05	9.47E-05	5.06E-05	6.73E-05	2.43E-05	8.16E-05	0.000103831	8.45E-05	9.97E-05	8.28E-05
PWY-7228: superpathway of guanosine nucleotides de novo biosynthesis I	0.000126372	0.000130247	3.95E-05	4.10E-05	4.10E-05	9.28E-05	4.73E-05	0.000148805	9.05E-05	0.000145112	6.51E-05	8.74E-05
PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I	0.000188635	0.000236783	0.000262997	0.000250546	0.000152307	0.000183896	8.59E-05	0.000225521	0.000257267	0.000237449	0.000242991	0.000231246
PWY-7234: inosine-5-phosphate biosynthesis III	0.000174963	9.35E-05	0.000192347	0.000193131	0.00027643	0.000179168	7.62E-05	7.91E-05	0.000118627	0.00018374	0.000222166	0.000142684
PWY-7235: superpathway of ubiquinol-6 biosynthesis (eukaryotic)	0	0	0	0	0	2.75E-06	0	0	0	0	0	0
PWY-7237: myo-. chiro- and scillo-inositol degradation	0.000260162	0.000153903	3.28E-05	0.000143843	0.000105387	4.08E-05	5.03E-05	2.51E-05	8.71E-05	7.84E-05	1.84E-05	5.03E-05
PWY-7242: D-fructuronate degradation	0.000107949	0.000102337	0.000386491	0.000111721	6.43E-05	0.000175129	6.85E-05	2.88E-05	0.000108165	4.45E-05	0.000279986	0.000200949
PWY-7245: superpathway NAD/NADP - NADH/NADPH interconversion (yeast)	0	0	0	0	0	0	0	2.56E-07	0	0	0	0
PWY-724: superpathway of L-lysine. L-threonine and L-methionine biosynthesis II	0.000528813	0.000438384	0.000436661	0.000455007	0.000462569	0.000445824	0.000338227	0.000373891	0.00049772	0.000462127	0.000391956	0.000486758
PWY-7254: TCA cycle VII (acetate-producers)	1.52E-05	1.21E-05	0	6.70E-07	1.52E-06	2.92E-06	5.47E-06	4.88E-06	2.15E-06	0	0	3.65E-07
PWY-7268: NAD/NADP-NADH/NADPH cytosolic interconversion (yeast)	0	0	0	0	0	0	0	2.00E-07	0	0	0	0
PWY-7269: NAD/NADP-NADH/NADPH mitochondrial interconversion (yeast)	1.27E-05	9.31E-06	0	0	9.57E-07	1.34E-06	5.74E-06	3.25E-06	3.84E-07	0	0	4.85E-07
PWY-7270: L-methionine salvage cycle II (plants)	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7279: aerobic respiration II (cytochrome c) (yeast)	1.39E-06	0	0	0	0	0	0	3.29E-06	0	0	0	0
PWY-7282: 4-amino-2-methyl-5-phosphomethylpyrimidine biosynthesis (yeast)	3.19E-06	0.000117139	5.28E-05	8.48E-05	8.22E-06	0.000188956	1.35E-06	0.00013576	2.28E-05	9.73E-06	6.48E-05	4.94E-05
PWY-7283: wybutosine biosynthesis	0	0	0	0	0	0	0	8.43E-08	0	0	0	0
PWY-7286: 7-(3-amino-3-carboxypropyl)-wyosine biosynthesis	0	0	0	0	0	0	0	4.35E-07	7.31E-06	0.000101044	0	0
PWY-7288: fatty acid &beta;-oxidation (peroxisome. yeast)	0	0	0	0	0	0	0	3.44E-07	0	0	0	0
PWY-7290: Escherichia coli serotype O86 O-antigen biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7294: xylose degradation IV	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7312: dTDP-D-&beta;-fucofuranose biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7315: dTDP-N-acetylthomosamine biosynthesis	1.52E-05	2.38E-05	0	0	3.18E-06	3.76E-06	7.62E-06	5.26E-06	1.52E-07	0	0	2.35E-07
PWY-7316: dTDP-N-acetylviosamine biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7323: superpathway of GDP-mannose-derived O-antigen building blocks biosynthesis	1.48E-05	3.54E-05	1.19E-06	6.60E-06	1.96E-06	2.59E-05	9.18E-06	3.84E-06	1.96E-06	0	1.76E-06	1.01E-05
PWY-7328: superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis	7.03E-06	1.15E-05	0	1.70E-06	4.08E-06	2.02E-06	4.61E-06	1.34E-06	2.76E-07	0	0	0
PWY-7345: superpathway of anaerobic sucrose degradation	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7357: thiamin formation from pyrithiamine and oxythiamine (yeast)	0.000588195	0.000472427	0.000381322	0.00035787	0.000394286	0.000492249	0.000316324	0.000291514	0.000466868	0.000356689	0.000293974	0.000428195
PWY-7371: 1.4-dihydroxy-6-naphthoate biosynthesis II	5.85E-05	1.51E-05	0	0	0	4.13E-06	0	0	1.14E-07	0	0	0
PWY-7374: 1.4-dihydroxy-6-naphthoate biosynthesis I	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7383: anaerobic energy metabolism (invertebrates. cytosol)	1.22E-05	7.14E-05	5.86E-05	9.68E-05	7.28E-06	3.39E-05	2.33E-05	6.70E-05	5.79E-05	6.25E-05	6.26E-05	9.31E-05
PWY-7384: anaerobic energy metabolism (invertebrates. mitochondrial)	0	7.56E-06	0	0	0	6.63E-07	0	5.76E-07	0	0	0	0
PWY-7385: 1.3-propanediol biosynthesis (engineered)	0	0	0	0	0	0	0	5.67E-07	0	0	0	0
PWY-7388: octanoyl-[acyl-carrier protein] biosynthesis (mitochondria. yeast)	1.31E-05	1.35E-05	1.55E-06	0	4.63E-06	1.33E-06	1.74E-06	3.91E-06	3.00E-06	0	0	6.72E-08
PWY-7389: superpathway of anaerobic energy metabolism (invertebrates)	0	1.14E-05	0	0	0	1.10E-06	0	9.70E-07	0	0	0	0
PWY-7391: isoprene biosynthesis II (engineered)	0	0	0	0	0	0	0	8.20E-07	4.37E-06	0	0	0
PWY-7392: taxadiene biosynthesis (engineered)	1.18E-05	1.94E-05	0	0	3.55E-06	2.49E-06	5.98E-06	1.22E-05	1.83E-05	1.80E-05	0	0
PWY-7399: methylphosphonate degradation II	3.28E-06	0	0	0	1.40E-06	8.90E-07	1.60E-06	4.45E-06	0	0	0	0
PWY-7400: L-arginine biosynthesis IV (archaebacteria)	0.0005613	0.000481323	0.000266138	0.000265794	0.000685459	0.000608717	0.000311587	0.000388861	0.000399546	0.000349433	0.000392556	0.000356583
PWY-7409: phospholipid remodeling (phosphatidylethanolamine. yeast)	6.14E-06	7.19E-06	0	0	1.36E-06	2.06E-06	3.94E-06	2.81E-06	0	0	0	0
PWY-7411: superpathway of phosphatidate biosynthesis (yeast)	0	0	0	0	0	0	0	2.11E-07	0	0	0	0
PWY-7420: monoacylglycerol metabolism (yeast)	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7431: aromatic biogenic amine degradation (bacteria)	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7446: sulfoglycolysis	7.88E-07	2.01E-07	0	0	0	0	2.99E-06	0	0	0	0	0
PWY-7456: mannan degradation	0	6.46E-05	3.07E-05	6.32E-05	8.77E-07	4.89E-05	0	5.89E-06	0.000110419	3.02E-05	4.92E-05	8.72E-05
PWY-7527: L-methionine salvage cycle III	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7528: L-methionine salvage cycle I (bacteria and plants)	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7539: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia)	2.01E-05	4.64E-05	1.47E-05	3.32E-05	2.09E-05	6.35E-05	6.60E-06	2.24E-06	5.79E-05	7.47E-05	2.43E-05	3.35E-05
PWY-7546: diphthamide biosynthesis (eukaryotes)	0	0	0	0	0	0	0	4.04E-08	0	0	0	0
PWY-7560: methylerythritol phosphate pathway II	8.70E-05	0.000156657	3.60E-05	2.07E-05	6.79E-05	1.96E-05	2.66E-05	7.10E-05	0.000139454	0.00029028	1.89E-06	7.79E-06
PWY-7592: arachidonate biosynthesis III (metazoa)	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7619: juniperonate biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7626: bacilysin biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7663: gondoate biosynthesis (anaerobic)	1.74E-05	0.000163034	3.62E-05	7.67E-05	2.82E-05	0.000109425	1.33E-05	8.44E-05	0.000219291	1.57E-05	4.18E-05	8.99E-05
PWY-7664: oleate biosynthesis IV (anaerobic)	1.33E-05	1.99E-05	2.27E-06	0	6.29E-06	1.98E-06	2.73E-06	5.70E-06	4.47E-06	0	0	1.01E-07
PWY-821: superpathway of sulfur amino acid biosynthesis (Saccharomyces cerevisiae)	1.44E-06	1.21E-05	0	2.85E-07	1.85E-06	4.88E-06	0	8.52E-06	2.48E-06	0	0	5.23E-07
PWY-841: superpathway of purine nucleotides de novo biosynthesis I	0.000174633	0.000177714	6.71E-05	6.71E-05	6.93E-05	0.000141526	7.29E-05	0.000176997	0.000134278	0.000195275	0.000104142	0.000135808
PWY-922: mevalonate pathway I	5.94E-07	3.89E-06	0	0	1.05E-06	3.86E-07	8.37E-07	2.15E-06	6.71E-06	0	0	0
PWY0-1061: superpathway of L-alanine biosynthesis	2.97E-05	3.23E-05	2.32E-06	4.46E-06	1.14E-05	1.11E-05	1.65E-05	1.82E-05	1.30E-05	1.54E-06	1.96E-06	2.25E-06
PWY0-1241: ADP-L-glycero-&beta;-D-manno-heptose biosynthesis	7.32E-06	6.61E-06	2.99E-07	0	8.31E-07	1.72E-06	3.19E-06	1.47E-06	1.02E-06	0	0	4.95E-07
PWY0-1261: anhydromuropeptides recycling	6.78E-05	6.21E-05	1.67E-05	3.71E-06	1.14E-05	1.98E-05	2.85E-05	3.97E-05	5.68E-05	2.31E-05	0	6.34E-05
PWY0-1277: 3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation	0	0	0	0	0	0	4.14E-06	0	0	0	0	0
PWY0-1296: purine ribonucleosides degradation	0.000622821	0.000571551	0.000537781	0.00061995	0.000597563	0.000561253	0.000869936	0.000713595	0.000536281	0.000371642	0.000373631	0.00051197
PWY0-1297: superpathway of purine deoxyribonucleosides degradation	0.000142216	0.00013539	1.95E-05	5.49E-05	8.64E-05	9.57E-05	2.70E-05	5.95E-05	0.000106631	7.51E-05	1.80E-05	9.11E-06
PWY0-1298: superpathway of pyrimidine deoxyribonucleosides degradation	1.52E-05	3.69E-05	1.19E-05	4.81E-05	2.96E-05	3.60E-05	7.14E-05	2.26E-05	6.64E-05	7.06E-05	1.47E-05	2.70E-05
PWY0-1319: CDP-diacylglycerol biosynthesis II	0.000688865	0.0006275	0.000529472	0.000649387	0.000628105	0.000606503	0.000841402	0.000766449	0.000627605	0.000452459	0.000420411	0.000631876
PWY0-1338: polymyxin resistance	1.72E-06	1.54E-06	0	0	2.96E-07	3.36E-07	2.30E-06	7.41E-07	0	0	0	7.66E-08
PWY0-1415: superpathway of heme biosynthesis from uroporphyrinogen-III	7.17E-06	1.37E-05	0	0	1.05E-06	4.96E-06	4.43E-06	1.83E-06	0	0	0	0
PWY0-1479: tRNA processing	0	7.78E-06	3.13E-06	0	0	2.25E-06	2.61E-06	1.70E-06	0	0	0	8.72E-07
PWY0-1533: methylphosphonate degradation I	2.40E-06	3.52E-06	0	0	9.77E-07	3.78E-07	2.20E-06	3.33E-06	0	0	0	0
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)	0.000112394	9.72E-05	9.70E-05	6.13E-05	8.90E-06	7.63E-05	5.68E-05	0.000190432	5.23E-05	6.58E-05	0.000123919	0.000140763
PWY0-162: superpathway of pyrimidine ribonucleotides de novo biosynthesis	0.000219225	0.000193046	0.00010899	0.000249357	6.65E-05	0.000144644	6.83E-05	0.000131986	0.000142842	0.000231565	0.000128884	0.000120822
PWY0-166: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)	0.000143422	0.000133598	5.76E-05	6.16E-05	6.24E-05	0.000113063	5.46E-05	0.00014515	0.000114887	0.000175185	9.16E-05	0.000118674
PWY0-321: phenylacetate degradation I (aerobic)	1.41E-07	0	0	0	0	0	2.02E-06	0	0	0	0	0
PWY0-41: allantoin degradation IV (anaerobic)	1.59E-07	2.81E-06	0	0	2.30E-07	2.32E-07	1.65E-06	8.53E-07	0	0	0	0
PWY0-42: 2-methylcitrate cycle I	2.06E-07	1.06E-06	0	0	0	0	5.09E-07	4.74E-07	0	0	0	0
PWY0-781: aspartate superpathway	0.000210136	0.000122328	0.000172033	0.000224708	9.89E-05	0.00014471	0.000117341	0.00011297	0.000199991	0.000213241	0.000171725	0.000159739
PWY0-845: superpathway of pyridoxal 5-phosphate biosynthesis and salvage	1.36E-06	5.18E-05	2.03E-05	3.51E-05	2.64E-06	9.25E-05	5.74E-07	7.46E-05	8.28E-06	3.20E-06	2.50E-05	1.96E-05
PWY0-862: (5Z)-dodec-5-enoate biosynthesis	1.28E-05	1.94E-05	1.96E-06	0	5.57E-06	1.70E-06	4.13E-06	4.93E-06	3.84E-06	2.95E-07	0	8.63E-08
PWY0-881: superpathway of fatty acid biosynthesis I (E. coli)	0	0	0	0	0	0	0	0	0	0	0	0
PWY1F-823: leucopelargonidin and leucocyanidin biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0
PWY1G-0: mycothiol biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0
PWY3O-19: ubiquinol-6 biosynthesis from 4-hydroxybenzoate (eukaryotic)	0	0	0	0	0	0	0	7.90E-07	0	0	0	0
PWY3O-355: stearate biosynthesis III (fungi)	0	0	0	0	0	0	0	7.98E-07	0	0	0	0
PWY490-3: nitrate reduction VI (assimilatory)	1.88E-06	6.83E-06	0	0	2.71E-06	2.61E-06	3.76E-06	2.62E-06	0	1.21E-06	0	1.50E-07
PWY4FS-7: phosphatidylglycerol biosynthesis I (plastidic)	4.46E-05	8.19E-05	3.98E-06	5.46E-06	1.02E-05	4.31E-05	1.95E-05	1.80E-05	1.21E-05	0	4.79E-06	5.13E-06
PWY4FS-8: phosphatidylglycerol biosynthesis II (non-plastidic)	4.46E-05	8.19E-05	3.98E-06	5.46E-06	1.02E-05	4.31E-05	1.95E-05	1.80E-05	1.21E-05	0	4.79E-06	5.13E-06
PWY4LZ-257: superpathway of fermentation (Chlamydomonas reinhardtii)	1.41E-05	2.23E-05	8.01E-06	8.77E-06	3.83E-06	3.93E-06	8.25E-06	7.24E-07	1.20E-05	1.82E-05	3.87E-06	6.65E-06
PWY66-375: leukotriene biosynthesis	0	0	0	0	0	0	0	2.08E-07	0	0	0	0
PWY66-388: fatty acid &alpha;-oxidation III	0	0	0	0	0	0	0	5.70E-08	0	0	0	0
PWY66-389: phytol degradation	0	0	0	0	0	0	0	1.07E-06	2.47E-07	0	0	0
PWY66-391: fatty acid &beta;-oxidation VI (peroxisome)	0	0	0	0	0	0	0	6.54E-07	0	0	0	0
PWY66-398: TCA cycle III (animals)	0	9.00E-07	0	2.72E-06	2.52E-06	1.40E-05	0	9.47E-06	4.03E-06	6.21E-07	9.04E-07	3.47E-06
PWY66-399: gluconeogenesis III	1.53E-05	5.57E-05	6.89E-06	5.41E-06	9.22E-06	3.85E-05	1.63E-05	1.19E-05	1.76E-05	4.45E-05	1.38E-05	2.27E-05
PWY66-400: glycolysis VI (metazoan)	0.00028368	0.000105047	4.84E-06	3.55E-06	4.78E-05	5.64E-05	3.20E-05	2.75E-05	1.46E-05	4.36E-05	1.44E-05	2.04E-05
PWY66-409: superpathway of purine nucleotide salvage	0.000180024	0.000176868	3.82E-05	6.32E-05	7.07E-05	0.000129232	4.97E-05	0.000115174	0.000133357	0.000132076	4.10E-05	2.44E-05
PWY66-422: D-galactose degradation V (Leloir pathway)	0.000557463	0.000508054	0.000465175	0.000526525	0.000521369	0.000472644	0.000641581	0.000573741	0.000494604	0.000369306	0.000322637	0.000479215
PWYG-321: mycolate biosynthesis	1.48E-05	2.01E-05	2.37E-06	0	6.65E-06	2.06E-06	2.54E-06	5.95E-06	4.64E-06	0	0	1.05E-07
PYRIDNUCSAL-PWY: NAD salvage pathway I	0.000139766	9.87E-05	9.09E-05	0.000168643	4.76E-05	1.80E-05	2.60E-05	3.32E-05	8.59E-05	0	6.81E-05	8.75E-05
PYRIDNUCSYN-PWY: NAD biosynthesis I (from aspartate)	0.000281081	0.00023822	0.000190398	0.000253954	0.000100192	0.000156757	0.000183091	0.000202712	0.000248285	0.000244344	0.000184584	0.000255394
PYRIDOXSYN-PWY: pyridoxal 5-phosphate biosynthesis I	1.00E-05	3.88E-05	1.45E-05	2.49E-05	2.18E-06	6.65E-05	3.84E-06	5.13E-05	5.95E-06	2.18E-06	1.72E-05	1.45E-05
REDCITCYC: TCA cycle VIII (helicobacter)	2.93E-05	1.63E-05	3.58E-06	7.96E-07	3.42E-06	4.67E-06	4.96E-06	5.08E-06	3.01E-06	0	0	4.26E-07
RHAMCAT-PWY: L-rhamnose degradation I	0.000102932	0.000160956	0.0001954	0.000110919	5.27E-05	0.000108968	9.18E-05	0.000119616	0.00013425	9.19E-05	0.000109447	0.00012048
RIBOSYN2-PWY: flavin biosynthesis I (bacteria and plants)	3.44E-05	5.50E-05	0	0	2.27E-05	0.000107965	8.27E-05	5.57E-05	4.81E-05	0.000182086	5.40E-05	9.93E-05
RUMP-PWY: formaldehyde oxidation I	0	2.62E-06	0	7.94E-06	4.23E-07	0	0	0	8.84E-06	3.18E-06	0	6.85E-06
SALVADEHYPOX-PWY: adenosine nucleotides degradation II	0.000154333	0.000155454	6.59E-05	0.000127438	0.000113667	0.000109574	1.84E-05	6.39E-06	0.000136738	0.000146709	5.41E-05	7.58E-05
SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I	0.000321706	0.000337829	0.000422936	0.000315385	0.000149019	0.000279266	0.000328876	0.00034634	0.000361744	0.000316863	0.000259617	0.000357426
SO4ASSIM-PWY: sulfate reduction I (assimilatory)	1.00E-05	3.48E-05	0	1.28E-07	6.62E-06	3.58E-06	7.72E-06	8.70E-06	2.10E-06	0	8.26E-06	3.13E-05
SPHINGOLIPID-SYN-PWY: sphingolipid biosynthesis (yeast)	0	0	0	0	0	0	0	1.82E-07	0	0	0	0
SULFATE-CYS-PWY: superpathway of sulfate assimilation and cysteine biosynthesis	2.15E-05	6.64E-05	0	2.89E-07	1.42E-05	7.89E-06	1.30E-05	1.41E-05	4.69E-06	0	1.68E-05	4.56E-05
TCA-GLYOX-BYPASS: superpathway of glyoxylate bypass and TCA	2.64E-05	1.69E-05	0	0	3.88E-06	5.34E-06	7.64E-06	9.90E-06	2.37E-07	0	0	4.72E-07
TCA: TCA cycle I (prokaryotic)	0.000136314	8.24E-05	8.36E-05	2.28E-05	1.01E-05	2.80E-05	1.92E-05	6.55E-05	7.56E-05	7.88E-05	1.12E-05	2.79E-05
TEICHOICACID-PWY: teichoic acid (poly-glycerol) biosynthesis	1.51E-06	0	0	0	0	0	0	0	0	0	0	0
THISYN-PWY: superpathway of thiamin diphosphate biosynthesis I	2.01E-05	7.06E-05	0	0	7.65E-06	2.54E-05	2.54E-05	2.32E-05	1.77E-05	1.75E-05	0	1.17E-05
THISYNARA-PWY: superpathway of thiamin diphosphate biosynthesis III (eukaryotes)	0.000251494	0.000243695	0.000189773	0.000169869	0.000105581	0.000209165	0.000152991	0.000136441	0.000265203	0.000198738	0.000139951	0.000265454
THREOCAT-PWY: superpathway of L-threonine metabolism	0	0	0	0	0	0	0	0	0	0	0	0
THRESYN-PWY: superpathway of L-threonine biosynthesis	0.000340251	0.000272736	0.000326796	0.000329349	0.000264333	0.000328988	0.00018715	0.000208506	0.000372601	0.000371083	0.000279647	0.000350724
TRIGLSYN-PWY: diacylglycerol and triacylglycerol biosynthesis	0	0	0	0	0	0	0	1.43E-07	0	0	0	0
TRNA-CHARGING-PWY: tRNA charging	0.000360945	0.000428385	0.000531791	0.000469828	0.00038029	0.000381131	0.00029075	0.000322418	0.000455014	0.000493137	0.000399625	0.000504842
TRPSYN-PWY: L-tryptophan biosynthesis	0.000478705	0.000448261	0.000358992	0.000349598	0.000239061	0.000199237	0.000308302	0.000387594	0.000337822	0.000299343	0.000298542	0.000407925
TYRFUMCAT-PWY: L-tyrosine degradation I	0	0	0	0	0	0	0	0	0	0	0	0
UBISYN-PWY: superpathway of ubiquinol-8 biosynthesis (prokaryotic)	4.74E-06	5.73E-06	0	0	1.07E-06	1.67E-06	3.85E-06	2.11E-06	0	0	0	0
UDPNACETYLGALSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis II	0	0	0	0	0	0	0	0	0	0	0	0
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I	0.000213882	0.000114568	0.000147284	0.000231706	0.000313841	0.000144696	6.20E-05	9.53E-05	0.000152257	0.000130189	0.000197928	0.00024354
URDEGR-PWY: superpathway of allantoin degradation in plants	5.53E-06	5.35E-06	0	0	1.23E-06	1.30E-06	1.56E-06	2.69E-06	2.01E-07	0	0	0
URSIN-PWY: ureide biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0
VALDEG-PWY: L-valine degradation I	0	0	0	0	0	0	0	0	0	0	0	0
VALSYN-PWY: L-valine biosynthesis	0.000875919	0.00080954	0.000927697	0.00083752	0.000752021	0.000723981	0.000870822	0.000866045	0.000800875	0.000704368	0.000908869	0.000954931
